Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Sales,Cost,Order_Status,Delivery_Date,Estimated_Delivery,Delivered_Quantity
1020,2024-06-26,C069,P038,3,13557.0,8199,Completed,2024-06-29,2024-07-01,3
1021,2023-06-15,C003,P033,3,12801.0,9180,Completed,2023-06-23,2023-06-19,3
1022,2024-05-31,C063,P003,1,4816.0,3402,Completed,2024-06-06,2024-06-04,1
1023,2023-05-12,C075,P046,2,19571.14,10584,Completed,2023-05-15,2023-05-17,1
1024,2024-02-27,C063,P009,2,7710.0,5328,Completed,2024-03-03,2024-03-03,2
1025,2023-02-12,C069,P034,3,11265.0,8190,Completed,2023-02-20,2023-02-16,3
1026,2023-03-27,C002,P036,4,15196.0,10672,Completed,2023-04-03,2023-03-31,3
1027,2023-07-11,C076,P040,4,15152.0,9684,Cancelled,,2023-07-17,0
1028,2024-05-13,C027,P007,4,14912.0,9416,Cancelled,,2024-05-17,0
1029,2024-07-15,C033,P051,1,9252.64,4830,Completed,2024-07-19,2024-07-18,1
1030,2024-10-07,C028,P047,4,31048.43,16676,Completed,2024-10-13,2024-10-13,3
1031,2024-05-15,C066,P047,2,17168.95,8338,Completed,2024-05-18,2024-05-19,2
1032,2023-06-13,C029,P044,3,29935.63,15843,Completed,2023-06-18,2023-06-16,3
1033,2024-01-13,C054,P003,1,4816.0,3402,Cancelled,,2024-01-17,0
1034,2023-09-04,C060,P012,4,18216.0,13048,Completed,2023-09-12,2023-09-11,4
1035,2024-04-29,C050,P023,2,7164.0,4518,Completed,2024-05-03,2024-05-06,2
1036,2024-05-09,C001,P029,2,9266.0,5634,Completed,2024-05-17,2024-05-13,2
1037,2024-07-07,C039,P024,2,8376.0,6034,Completed,2024-07-14,2024-07-13,2
1038,2024-03-09,C050,P035,3,10974.0,7626,Completed,2024-03-13,2024-03-16,3
1039,2024-10-20,C024,P045,1,7985.67,3968,Completed,2024-10-22,2024-10-27,1
1040,2023-06-24,C012,P028,2,8874.0,5626,Completed,2023-07-01,2023-06-30,2
1041,2023-09-25,C080,P006,2,7890.0,5448,Completed,2023-09-27,2023-10-01,2
1042,2024-03-03,C078,P028,3,13311.0,8439,Cancelled,,2024-03-09,0
1043,2024-05-18,C053,P034,2,7510.0,5460,Completed,2024-05-22,2024-05-23,2
1044,2024-06-26,C044,P035,1,3658.0,2542,Completed,2024-06-29,2024-06-30,1
1045,2023-07-10,C010,P027,2,9380.0,6798,Completed,2023-07-16,2023-07-17,2
1046,2024-06-23,C072,P043,1,7705.92,4633,Completed,2024-06-30,2024-06-30,1
1047,2024-09-07,C036,P004,4,18044.0,13164,Completed,2024-09-11,2024-09-10,4
1048,2023-06-19,C031,P024,4,16752.0,12068,Completed,2023-06-24,2023-06-25,4
1049,2023-12-18,C017,P004,2,9022.0,6582,Completed,2023-12-26,2023-12-21,2
1050,2023-12-11,C031,P003,4,19264.0,13608,Returned,2023-12-15,2023-12-17,4
1051,2023-10-07,C060,P017,4,15724.0,11620,Completed,2023-10-15,2023-10-14,0
1052,2024-08-12,C055,P004,3,13533.0,9873,Completed,2024-08-14,2024-08-15,3
1053,2024-04-12,C072,P035,4,14632.0,10168,Returned,2024-04-20,2024-04-19,4
1054,2023-02-28,C021,P025,1,3785.0,2484,Completed,2023-03-07,2023-03-05,1
1055,2023-09-05,C068,P002,3,12663.0,8799,Completed,2023-09-11,2023-09-11,3
1056,2024-01-25,C013,P059,2,19160.91,10494,Returned,2024-01-29,2024-01-30,2
1057,2024-12-01,C016,P002,1,4221.0,2933,Cancelled,,2024-12-04,0
1058,2024-11-11,C010,P011,4,18392.0,11604,Cancelled,,2024-11-17,0
1059,2023-11-24,C022,P046,4,36970.25,21168,Completed,2023-11-28,2023-11-28,4
1060,2023-07-01,C055,P026,1,4306.0,3085,Completed,2023-07-08,2023-07-08,1
1061,2024-06-09,C015,P021,1,4832.0,3032,Cancelled,,2024-06-13,0
1062,2023-03-30,C065,P058,4,36541.14,19632,Completed,2023-04-04,2023-04-03,4
1063,2023-08-22,C050,P003,2,9632.0,6804,Completed,2023-08-29,2023-08-25,2
1064,2023-12-08,C064,P011,2,9196.0,5802,Completed,2023-12-13,2023-12-11,2
1065,2024-08-19,C058,P052,1,8681.97,4734,Returned,2024-08-22,2024-08-25,1
1066,2024-03-09,C024,P029,3,13899.0,8451,Cancelled,,2024-03-14,0
1067,2023-01-26,C016,P010,2,8540.0,6316,Completed,2023-01-31,2023-02-02,2
1068,2024-02-01,C027,P011,4,18392.0,11604,Completed,2024-02-03,2024-02-06,4
1069,2024-10-05,C043,P038,3,13557.0,8199,Completed,2024-10-09,2024-10-08,3
1070,2023-05-16,C045,P059,2,20202.02,10494,Returned,2023-05-22,2023-05-22,2
1071,2024-09-23,C022,P034,1,3755.0,2730,Cancelled,,2024-09-28,0
1072,2024-03-18,C006,P030,1,4258.0,2767,Completed,2024-03-22,2024-03-24,1
1073,2023-09-14,C069,P005,3,13212.0,9273,Completed,2023-09-21,2023-09-17,3
1074,2023-06-10,C059,P043,4,37179.88,18532,Completed,2023-06-16,2023-06-15,4
1075,2023-03-15,C008,P008,3,13350.0,9837,Returned,2023-03-18,2023-03-22,3
1076,2023-08-18,C002,P031,2,8450.0,5866,Completed,2023-08-22,2023-08-23,2
1077,2023-02-22,C030,P049,2,16039.41,7920,Completed,2023-03-01,2023-02-27,1
1078,2024-01-04,C025,P005,2,8808.0,6182,Returned,2024-01-10,2024-01-09,2
1079,2024-07-17,C076,P012,3,13662.0,9786,Completed,2024-07-21,2024-07-24,3
1080,2024-02-22,C078,P033,3,12801.0,9180,Completed,2024-02-28,2024-02-29,3
1081,2023-02-19,C051,P006,4,15780.0,10896,Completed,2023-02-26,2023-02-26,4
1082,2023-06-08,C006,P056,4,39681.3,23532,Completed,2023-06-11,2023-06-15,4
1083,2024-07-10,C020,P029,4,18532.0,11268,Completed,2024-07-16,2024-07-16,0
1084,2023-11-23,C004,P038,1,4519.0,2733,Completed,2023-11-25,2023-11-28,1
1085,2024-04-26,C060,P056,2,18327.74,11766,Completed,2024-05-03,2024-05-02,2
1086,2023-06-29,C026,P044,4,38298.91,21124,Returned,2023-07-02,2023-07-06,4
1087,2023-07-11,C064,P048,2,20135.78,11562,Completed,2023-07-17,2023-07-15,2
1088,2023-03-20,C062,P039,2,8372.0,5034,Returned,2023-03-28,2023-03-25,2
1089,2024-07-18,C065,P041,4,36811.97,21956,Completed,2024-07-21,2024-07-25,4
1090,2024-09-20,C058,P046,1,10143.02,5292,Completed,2024-09-27,2024-09-25,1
1091,2024-09-06,C043,P033,2,8534.0,6120,Completed,2024-09-08,2024-09-12,2
1092,2023-04-28,C058,P058,2,17376.95,9816,Completed,2023-04-30,2023-05-04,2
1093,2023-03-15,C016,P042,4,38589.5,25376,Completed,2023-03-20,2023-03-18,4
1094,2024-11-26,C059,P023,1,3582.0,2259,Completed,2024-12-03,2024-12-03,1
1095,2023-07-22,C060,P020,1,4812.0,3429,Cancelled,,2023-07-29,0
1096,2024-10-22,C055,P055,2,16855.97,9174,Completed,2024-10-28,2024-10-29,1
1097,2023-04-09,C070,P002,4,16884.0,11732,Completed,2023-04-14,2023-04-16,4
1098,2023-09-23,C012,P059,4,39205.8,20988,Cancelled,,2023-09-26,0
1099,2024-03-20,C031,P015,1,4241.0,3177,Completed,2024-03-25,2024-03-26,1
1100,2023-03-21,C071,P035,3,10974.0,7626,Completed,2023-03-28,2023-03-24,3
1101,2024-09-06,C042,P059,3,28208.93,15741,Completed,2024-09-11,2024-09-11,2
1102,2023-01-10,C077,P043,2,16472.76,9266,Cancelled,,2023-01-13,0
1103,2024-12-11,C019,P027,3,14070.0,10197,Completed,2024-12-16,2024-12-15,3
1104,2023-12-26,C015,P004,2,9022.0,6582,Completed,2023-12-29,2024-01-02,2
1105,2024-04-01,C002,P006,3,11835.0,8172,Completed,2024-04-07,2024-04-04,3
1106,2024-01-05,C006,P013,1,4242.0,2803,Completed,2024-01-09,2024-01-08,1
1107,2023-08-08,C027,P014,4,15460.0,10832,Cancelled,,2023-08-12,0
1108,2024-05-10,C069,P034,3,11265.0,8190,Completed,2024-05-18,2024-05-17,3
1109,2024-03-01,C020,P028,3,13311.0,8439,Completed,2024-03-05,2024-03-08,3
1110,2024-01-29,C026,P003,2,9632.0,6804,Returned,2024-02-06,2024-02-02,1
1111,2023-03-30,C033,P053,4,32144.26,16348,Completed,2023-04-01,2023-04-04,3
1112,2024-09-27,C068,P020,2,9624.0,6858,Completed,2024-10-04,2024-09-30,2
1113,2023-08-26,C057,P039,3,12558.0,7551,Cancelled,,2023-09-01,0
1114,2023-04-11,C009,P003,3,14448.0,10206,Completed,2023-04-17,2023-04-14,3
1115,2023-08-09,C032,P024,4,16752.0,12068,Completed,2023-08-16,2023-08-15,4
1116,2023-05-15,C015,P039,2,8372.0,5034,Completed,2023-05-23,2023-05-19,2
1117,2024-03-29,C071,P050,3,20908.68,12783,Cancelled,,2024-04-02,0
1118,2023-05-24,C055,P015,3,12723.0,9531,Completed,2023-05-31,2023-05-30,3
1119,2024-06-02,C002,P028,1,4437.0,2813,Completed,2024-06-04,2024-06-08,1
1120,2024-08-05,C059,P056,4,36989.85,23532,Completed,2024-08-10,2024-08-12,4
1121,2024-08-20,C068,P043,4,31835.39,18532,Completed,2024-08-26,2024-08-23,4
1122,2024-06-26,C049,P060,2,16099.34,8838,Completed,2024-06-29,2024-07-01,2
1123,2023-10-24,C036,P032,2,9450.0,6734,Completed,2023-11-01,2023-10-29,1
1124,2023-11-22,C048,P040,1,3788.0,2421,Completed,2023-11-28,2023-11-28,1
1125,2024-04-23,C026,P014,3,11595.0,8124,Completed,2024-04-27,2024-04-30,3
1126,2024-04-09,C002,P020,3,14436.0,10287,Completed,2024-04-11,2024-04-12,3
1127,2023-01-11,C001,P020,1,4812.0,3429,Completed,2023-01-18,2023-01-18,1
1128,2023-11-09,C059,P047,4,36011.32,16676,Completed,2023-11-14,2023-11-13,4
1129,2023-06-02,C071,P043,1,8632.66,4633,Completed,2023-06-08,2023-06-09,1
1130,2023-09-13,C026,P018,2,9142.0,5890,Completed,2023-09-15,2023-09-16,2
1131,2024-03-07,C003,P001,4,15792.0,9568,Completed,2024-03-15,2024-03-14,4
1132,2024-11-27,C027,P019,2,7658.0,5082,Completed,2024-11-29,2024-12-04,2
1133,2023-08-27,C006,P020,2,9624.0,6858,Cancelled,,2023-08-30,0
1134,2023-04-28,C016,P054,4,36768.5,21644,Completed,2023-04-30,2023-05-01,0
1135,2023-10-07,C024,P043,1,8039.1,4633,Completed,2023-10-09,2023-10-12,1
1136,2023-11-07,C017,P027,4,18760.0,13596,Completed,2023-11-09,2023-11-13,4
1137,2023-10-16,C031,P023,4,14328.0,9036,Completed,2023-10-19,2023-10-23,4
1138,2024-08-08,C001,P004,3,13533.0,9873,Completed,2024-08-13,2024-08-15,3
1139,2024-07-20,C006,P032,1,4725.0,3367,Returned,2024-07-28,2024-07-27,1
1140,2023-12-10,C004,P023,3,10746.0,6777,Completed,2023-12-15,2023-12-17,3
1141,2023-05-03,C016,P018,4,18284.0,11780,Completed,2023-05-06,2023-05-09,4
1142,2024-04-13,C080,P035,1,3658.0,2542,Completed,2024-04-16,2024-04-16,1
1143,2024-02-04,C042,P029,4,18532.0,11268,Completed,2024-02-09,2024-02-10,4
1144,2023-06-30,C010,P011,1,4598.0,2901,Completed,2023-07-04,2023-07-06,1
1145,2023-08-15,C023,P038,3,13557.0,8199,Completed,2023-08-18,2023-08-18,3
1146,2023-07-07,C074,P009,2,7710.0,5328,Completed,2023-07-11,2023-07-12,2
1147,2023-10-02,C045,P018,3,13713.0,8835,Completed,2023-10-07,2023-10-06,3
1148,2024-07-23,C071,P029,4,18532.0,11268,Completed,2024-07-27,2024-07-27,4
1149,2024-04-27,C054,P003,4,19264.0,13608,Cancelled,,2024-05-01,0
1150,2024-07-18,C034,P058,3,22930.74,14724,Completed,2024-07-21,2024-07-24,3
1151,2023-06-10,C063,P031,4,16900.0,11732,Completed,2023-06-17,2023-06-14,4
1152,2023-12-02,C017,P017,4,15724.0,11620,Returned,2023-12-06,2023-12-05,4
1153,2023-03-07,C069,P033,1,4267.0,3060,Completed,2023-03-12,2023-03-14,1
1154,2023-06-22,C054,P040,2,7576.0,4842,Completed,2023-06-25,2023-06-28,2
1155,2023-07-09,C078,P058,3,25137.43,14724,Completed,2023-07-17,2023-07-13,3
1156,2024-11-22,C011,P021,4,19328.0,12128,Completed,2024-11-27,2024-11-25,4
1157,2023-02-23,C006,P050,2,14150.06,8522,Completed,2023-02-27,2023-02-26,2
1158,2024-10-19,C077,P027,3,14070.0,10197,Completed,2024-10-24,2024-10-22,0
1159,2023-05-09,C062,P029,3,13899.0,8451,Cancelled,,2023-05-13,0
1160,2023-07-05,C077,P041,3,25949.59,16467,Completed,2023-07-08,2023-07-10,3
1161,2023-02-22,C006,P048,2,17365.92,11562,Completed,2023-02-24,2023-03-01,2
1162,2023-12-18,C067,P005,1,4404.0,3091,Cancelled,,2023-12-24,0
1163,2024-03-26,C024,P055,3,21575.21,13761,Completed,2024-03-28,2024-03-30,3
1164,2023-04-23,C055,P045,2,14390.31,7936,Cancelled,,2023-04-27,0
1165,2024-03-30,C060,P045,3,23167.66,11904,Completed,2024-04-04,2024-04-04,3
1166,2023-05-16,C051,P026,2,8612.0,6170,Completed,2023-05-18,2023-05-22,2
1167,2024-08-17,C012,P032,4,18900.0,13468,Completed,2024-08-20,2024-08-24,4
1168,2023-07-15,C061,P008,2,8900.0,6558,Completed,2023-07-20,2023-07-19,1
1169,2024-11-17,C037,P053,2,15344.8,8174,Completed,2024-11-24,2024-11-24,2
1170,2024-10-03,C073,P023,1,3582.0,2259,Cancelled,,2024-10-09,0
1171,2023-06-15,C055,P019,2,7658.0,5082,Completed,2023-06-20,2023-06-20,2
1172,2024-02-11,C056,P039,2,8372.0,5034,Completed,2024-02-13,2024-02-17,2
1173,2023-09-28,C028,P022,2,8548.0,5740,Completed,2023-10-06,2023-10-02,2
1174,2024-08-30,C033,P031,1,4225.0,2933,Completed,2024-09-07,2024-09-04,1
1175,2023-06-29,C067,P031,4,16900.0,11732,Completed,2023-07-06,2023-07-02,3
1176,2024-07-02,C044,P012,3,13662.0,9786,Completed,2024-07-05,2024-07-09,3
1177,2023-10-02,C032,P010,3,12810.0,9474,Completed,2023-10-09,2023-10-09,3
1178,2024-12-21,C039,P045,1,7058.7,3968,Completed,2024-12-29,2024-12-26,1
1179,2023-09-24,C001,P045,4,29810.02,15872,Completed,2023-09-26,2023-09-30,4
1180,2024-07-31,C058,P038,4,18076.0,10932,Completed,2024-08-05,2024-08-05,4
1181,2024-11-19,C017,P026,2,8612.0,6170,Completed,2024-11-21,2024-11-26,2
1182,2024-04-03,C047,P045,4,31627.79,15872,Completed,2024-04-05,2024-04-06,4
1183,2023-10-12,C033,P009,2,7710.0,5328,Completed,2023-10-17,2023-10-17,1
1184,2023-06-21,C080,P042,4,45672.89,25376,Completed,2023-06-24,2023-06-26,3
1185,2023-03-31,C017,P027,4,18760.0,13596,Completed,2023-04-08,2023-04-05,4
1186,2024-08-07,C040,P059,3,30641.15,15741,Returned,2024-08-12,2024-08-10,3
1187,2023-12-07,C031,P058,3,24635.8,14724,Completed,2023-12-11,2023-12-14,3
1188,2023-10-22,C030,P049,1,8307.38,3960,Completed,2023-10-25,2023-10-26,1
1189,2023-01-18,C013,P016,3,13098.0,9792,Completed,2023-01-25,2023-01-24,3
1190,2024-06-23,C058,P058,3,23678.34,14724,Completed,2024-06-26,2024-06-30,3
1191,2024-01-18,C058,P008,3,13350.0,9837,Completed,2024-01-23,2024-01-22,2
1192,2023-06-26,C043,P016,1,4366.0,3264,Completed,2023-07-02,2023-07-02,1
1193,2024-08-09,C075,P039,2,8372.0,5034,Cancelled,,2024-08-16,0
1194,2023-04-30,C052,P031,2,8450.0,5866,Completed,2023-05-08,2023-05-06,2
1195,2023-10-03,C058,P036,4,15196.0,10672,Completed,2023-10-05,2023-10-08,4
1196,2024-09-20,C018,P016,4,17464.0,13056,Completed,2024-09-23,2024-09-26,4
1197,2023-10-03,C059,P011,3,13794.0,8703,Completed,2023-10-06,2023-10-09,3
1198,2023-03-28,C052,P004,1,4511.0,3291,Completed,2023-04-05,2023-04-04,1
1199,2024-04-09,C016,P039,1,4186.0,2517,Completed,2024-04-13,2024-04-16,1
1200,2023-03-19,C054,P005,1,4404.0,3091,Cancelled,,2023-03-24,0
1201,2024-08-29,C047,P034,1,3755.0,2730,Returned,2024-08-31,2024-09-03,1
1202,2023-03-17,C069,P008,3,13350.0,9837,Completed,2023-03-23,2023-03-20,3
1203,2024-07-07,C038,P049,1,7842.29,3960,Completed,2024-07-10,2024-07-12,1
1204,2023-10-07,C056,P060,2,19568.99,8838,Completed,2023-10-10,2023-10-12,2
1205,2024-01-10,C078,P050,1,7797.87,4261,Completed,2024-01-18,2024-01-14,1
1206,2024-06-27,C015,P028,4,17748.0,11252,Completed,2024-07-02,2024-06-30,4
1207,2023-12-13,C031,P035,4,14632.0,10168,Completed,2023-12-18,2023-12-16,3
1208,2024-02-01,C076,P027,3,14070.0,10197,Completed,2024-02-09,2024-02-07,2
1209,2024-07-23,C006,P021,2,9664.0,6064,Completed,2024-07-31,2024-07-30,2
1210,2023-04-20,C075,P038,2,9038.0,5466,Cancelled,,2023-04-26,0
1211,2024-05-09,C033,P010,1,4270.0,3158,Completed,2024-05-16,2024-05-13,0
1212,2023-10-07,C060,P021,3,14496.0,9096,Completed,2023-10-11,2023-10-14,3
1213,2023-03-04,C052,P027,4,18760.0,13596,Completed,2023-03-10,2023-03-07,4
1214,2024-08-22,C075,P007,2,7456.0,4708,Completed,2024-08-30,2024-08-28,2
1215,2023-07-18,C080,P055,4,33316.61,18348,Completed,2023-07-26,2023-07-25,4
1216,2024-01-26,C070,P048,2,19969.98,11562,Completed,2024-01-28,2024-02-01,2
1217,2023-04-20,C002,P052,4,36816.3,18936,Completed,2023-04-23,2023-04-23,4
1218,2023-04-25,C072,P060,3,28996.75,13257,Completed,2023-04-27,2023-04-28,3
1219,2023-05-02,C061,P055,4,32403.37,18348,Completed,2023-05-09,2023-05-07,4
1220,2024-12-27,C055,P039,3,12558.0,7551,Completed,2024-12-31,2025-01-03,3
1221,2024-07-19,C071,P037,4,16420.0,10360,Completed,2024-07-27,2024-07-26,4
1222,2024-05-22,C062,P037,1,4105.0,2590,Completed,2024-05-28,2024-05-25,1
1223,2023-09-20,C042,P015,2,8482.0,6354,Cancelled,,2023-09-26,0
1224,2024-06-23,C033,P056,1,10162.2,5883,Completed,2024-06-26,2024-06-26,1
1225,2024-07-05,C058,P037,1,4105.0,2590,Completed,2024-07-13,2024-07-09,1
1226,2023-10-25,C047,P014,2,7730.0,5416,Cancelled,,2023-11-01,0
1227,2024-10-01,C004,P013,2,8484.0,5606,Cancelled,,2024-10-04,0
1228,2024-12-05,C019,P055,4,31964.52,18348,Completed,2024-12-11,2024-12-09,4
1229,2024-04-18,C011,P052,1,8430.71,4734,Cancelled,,2024-04-23,0
1230,2023-02-02,C065,P051,4,33462.17,19320,Completed,2023-02-05,2023-02-06,4
1231,2024-10-20,C068,P060,2,17717.28,8838,Completed,2024-10-28,2024-10-23,2
1232,2023-10-03,C052,P025,4,15140.0,9936,Completed,2023-10-10,2023-10-07,4
1233,2023-06-05,C068,P044,4,37247.53,21124,Completed,2023-06-10,2023-06-11,4
1234,2023-10-04,C028,P014,2,7730.0,5416,Completed,2023-10-12,2023-10-10,1
1235,2024-03-26,C056,P056,1,10493.17,5883,Completed,2024-03-29,2024-04-02,1
1236,2023-11-24,C029,P017,1,3931.0,2905,Completed,2023-11-26,2023-12-01,1
1237,2023-08-30,C063,P007,2,7456.0,4708,Completed,2023-09-07,2023-09-05,2
1238,2023-01-15,C042,P042,4,39602.64,25376,Completed,2023-01-19,2023-01-20,4
1239,2024-02-19,C047,P026,3,12918.0,9255,Completed,2024-02-21,2024-02-25,3
1240,2024-01-02,C045,P053,1,7732.57,4087,Completed,2024-01-09,2024-01-08,1
1241,2023-12-09,C080,P021,3,14496.0,9096,Completed,2023-12-13,2023-12-13,3
1242,2024-04-14,C064,P050,3,23786.97,12783,Cancelled,,2024-04-20,0
1243,2023-05-25,C030,P004,1,4511.0,3291,Completed,2023-06-01,2023-06-01,1
1244,2023-08-24,C037,P059,4,38450.56,20988,Completed,2023-08-30,2023-08-31,4
1245,2023-10-15,C052,P041,4,34535.2,21956,Returned,2023-10-17,2023-10-22,4
1246,2024-07-06,C022,P031,3,12675.0,8799,Completed,2024-07-10,2024-07-13,3
1247,2024-09-17,C026,P040,1,3788.0,2421,Cancelled,,2024-09-22,0
1248,2024-11-14,C077,P016,2,8732.0,6528,Completed,2024-11-18,2024-11-17,2
1249,2023-03-09,C048,P020,3,14436.0,10287,Completed,2023-03-11,2023-03-16,2
1250,2024-07-23,C068,P014,1,3865.0,2708,Completed,2024-07-30,2024-07-26,1
1251,2023-11-13,C025,P020,2,9624.0,6858,Completed,2023-11-16,2023-11-16,2
1252,2024-11-08,C077,P041,3,29790.02,16467,Returned,2024-11-12,2024-11-12,3
1253,2023-02-01,C073,P044,2,18559.97,10562,Completed,2023-02-04,2023-02-05,2
1254,2023-05-20,C008,P060,1,9670.36,4419,Completed,2023-05-25,2023-05-26,1
1255,2023-09-11,C051,P059,3,32642.49,15741,Completed,2023-09-15,2023-09-18,3
1256,2023-10-13,C062,P027,1,4690.0,3399,Completed,2023-10-16,2023-10-16,1
1257,2024-12-27,C015,P040,1,3788.0,2421,Cancelled,,2025-01-01,0
1258,2023-01-01,C054,P014,1,3865.0,2708,Completed,2023-01-09,2023-01-04,1
1259,2024-09-19,C036,P032,4,18900.0,13468,Completed,2024-09-23,2024-09-22,4
1260,2024-05-21,C028,P003,4,19264.0,13608,Completed,2024-05-23,2024-05-27,4
1261,2023-08-11,C039,P055,1,8197.24,4587,Completed,2023-08-17,2023-08-15,1
1262,2024-04-12,C039,P013,3,12726.0,8409,Completed,2024-04-17,2024-04-19,3
1263,2023-12-27,C016,P051,3,27132.66,14490,Completed,2023-12-31,2024-01-01,3
1264,2023-03-22,C057,P024,4,16752.0,12068,Completed,2023-03-27,2023-03-27,3
1265,2023-08-05,C044,P039,4,16744.0,10068,Completed,2023-08-13,2023-08-12,4
1266,2024-12-07,C049,P006,1,3945.0,2724,Returned,2024-12-13,2024-12-14,1
1267,2024-11-17,C017,P020,1,4812.0,3429,Returned,2024-11-24,2024-11-23,1
1268,2024-07-20,C027,P004,2,9022.0,6582,Completed,2024-07-22,2024-07-25,2
1269,2024-12-20,C023,P014,1,3865.0,2708,Completed,2024-12-27,2024-12-24,1
1270,2024-05-18,C014,P006,1,3945.0,2724,Completed,2024-05-24,2024-05-21,1
1271,2024-07-13,C068,P036,4,15196.0,10672,Completed,2024-07-15,2024-07-16,4
1272,2023-06-30,C005,P015,3,12723.0,9531,Completed,2023-07-03,2023-07-03,3
1273,2024-12-07,C050,P037,3,12315.0,7770,Completed,2024-12-14,2024-12-14,3
1274,2023-11-05,C038,P058,4,35453.49,19632,Returned,2023-11-11,2023-11-11,4
1275,2024-08-09,C017,P021,2,9664.0,6064,Completed,2024-08-17,2024-08-16,2
1276,2024-07-12,C010,P031,4,16900.0,11732,Cancelled,,2024-07-17,0
1277,2023-07-24,C068,P034,3,11265.0,8190,Completed,2023-07-27,2023-07-28,3
1278,2024-11-11,C049,P057,2,16846.97,8478,Completed,2024-11-14,2024-11-17,2
1279,2023-02-21,C041,P003,4,19264.0,13608,Completed,2023-02-27,2023-02-25,4
1280,2023-01-14,C037,P049,3,25688.24,11880,Completed,2023-01-19,2023-01-17,2
1281,2023-03-18,C017,P059,4,40698.44,20988,Completed,2023-03-23,2023-03-24,4
1282,2024-04-15,C011,P013,4,16968.0,11212,Returned,2024-04-18,2024-04-22,3
1283,2023-02-04,C051,P015,4,16964.0,12708,Completed,2023-02-11,2023-02-09,3
1284,2024-04-12,C045,P019,1,3829.0,2541,Completed,2024-04-18,2024-04-16,1
1285,2023-10-01,C067,P051,4,35665.11,19320,Completed,2023-10-05,2023-10-05,4
1286,2024-07-30,C049,P002,2,8442.0,5866,Completed,2024-08-02,2024-08-05,2
1287,2024-08-02,C028,P053,1,7668.01,4087,Completed,2024-08-09,2024-08-06,1
1288,2024-12-21,C057,P002,2,8442.0,5866,Completed,2024-12-25,2024-12-27,2
1289,2023-06-28,C073,P021,3,14496.0,9096,Completed,2023-07-06,2023-07-03,2
1290,2023-05-03,C022,P034,1,3755.0,2730,Completed,2023-05-11,2023-05-08,1
1291,2023-08-04,C031,P030,4,17032.0,11068,Completed,2023-08-08,2023-08-10,4
1292,2023-03-27,C020,P032,4,18900.0,13468,Returned,2023-04-02,2023-03-31,4
1293,2023-07-03,C079,P010,4,17080.0,12632,Cancelled,,2023-07-10,0
1294,2024-04-18,C010,P007,3,11184.0,7062,Completed,2024-04-21,2024-04-24,3
1295,2023-10-20,C049,P054,3,27198.75,16233,Completed,2023-10-28,2023-10-27,3
1296,2023-09-15,C019,P040,3,11364.0,7263,Completed,2023-09-18,2023-09-21,3
1297,2024-01-05,C044,P023,1,3582.0,2259,Completed,2024-01-10,2024-01-11,1
1298,2024-08-29,C062,P023,3,10746.0,6777,Completed,2024-08-31,2024-09-01,3
1299,2023-12-20,C015,P031,3,12675.0,8799,Completed,2023-12-27,2023-12-25,3
1300,2024-08-14,C003,P031,1,4225.0,2933,Completed,2024-08-20,2024-08-18,1
1301,2023-03-03,C047,P006,3,11835.0,8172,Completed,2023-03-07,2023-03-08,3
1302,2024-05-05,C069,P028,4,17748.0,11252,Completed,2024-05-08,2024-05-09,4
1303,2023-02-16,C074,P038,4,18076.0,10932,Cancelled,,2023-02-19,0
